Data,Total de casos
2020-09-23,22916
2020-09-24,23132
2020-09-25,23275
2020-09-26,23437
2020-09-27,23535
2020-09-28,23740
2020-09-29,23937
2020-09-30,24128
2020-10-01,24317
2020-10-02,24538
2020-10-03,24591
2020-10-04,24691
2020-10-05,24935
2020-10-06,25176
2020-10-07,25423
2020-10-08,25610
2020-10-09,25775
2020-10-10,25818
2020-10-11,25854
2020-10-12,25928
2020-10-13,26119
2020-10-14,26316
2020-10-15,26421
2020-10-16,26621
2020-10-17,26670
2020-10-18,26691
2020-10-19,26916
2020-10-20,27169
2020-10-21,27424
2020-10-22,27617
2020-10-23,27913
2020-10-24,28110
2020-10-25,28151
2020-10-26,28316
2020-10-27,28583
2020-10-28,28795
2020-10-29,29050
2020-10-30,29223
2020-10-31,29388
2020-11-01,29445
2020-11-02,29581
2020-11-03,29671
2020-11-04,29853
2020-11-05,30105
2020-11-06,30307
2020-11-07,30481
2020-11-08,30533
2020-11-09,30776
2020-11-10,31022
2020-11-11,31265
2020-11-12,31810
2020-11-13,32024
2020-11-14,32107
2020-11-15,32177
2020-11-16,32399
2020-11-17,32710
2020-11-18,32838
2020-11-19,33176
2020-11-20,33303
2020-11-21,33452
2020-11-22,33489
2020-11-23,33782
2020-11-24,34039
2020-11-25,34361
2020-11-26,34604
2020-11-27,34835
2020-11-28,34902
2020-11-29,34950
2020-11-30,35176
2020-12-01,35437
2020-12-02,35649
2020-12-03,35842
2020-12-04,36028
2020-12-05,36157
2020-12-06,36205
2020-12-07,36456
2020-12-08,36636
2020-12-09,36813
2020-12-10,37029
2020-12-11,37218
2020-12-12,37357
2020-12-13,37440
2020-12-14,37646
2020-12-15,37939
2020-12-16,38172
2020-12-17,38356
2020-12-18,38561
2020-12-19,38642
2020-12-20,38693
2020-12-21,38878
2020-12-22,39108
2020-12-23,39427
2020-12-24,39602
2020-12-25,39694
2020-12-26,39718
2020-12-27,39801
2020-12-28,40040
2020-12-29,40302
2020-12-30,40581
2020-12-31,40744
2021-01-01,40879
2021-01-02,40940
2021-01-03,41003
2021-01-04,41210
2021-01-05,41520
2021-01-06,41799
2021-01-07,42044
2021-01-08,42319
2021-01-09,42525
2021-01-10,42525
2021-01-11,42680
2021-01-12,43010
2021-01-13,43366
2021-01-14,43685
2021-01-15,43886
2021-01-16,44060
2021-01-17,44098
2021-01-18,44240
2021-01-19,44549
2021-01-20,44777
2021-01-21,45058
2021-01-22,45276
2021-01-23,45348
2021-01-24,45380
2021-01-25,45529
2021-01-26,45776
2021-01-27,46040
2021-01-28,46308
2021-01-29,46593
2021-01-30,46752
2021-01-31,46803
2021-02-01,46970
2021-02-02,47244
2021-02-03,47494
2021-02-04,47734
2021-02-05,47979
2021-02-06,48069
2021-02-07,48103
2021-02-08,48282
2021-02-09,48614
2021-02-10,48855
2021-02-11,49038
2021-02-12,49273
2021-02-13,49423
2021-02-14,49462
2021-02-15,49636
2021-02-16,50010
2021-02-17,50506
2021-02-18,50972
2021-02-19,51356
2021-02-20,51610
2021-02-21,51648
2021-02-22,51875
2021-02-23,52362
2021-02-24,52822
2021-02-25,53142
2021-02-26,53491
2021-02-27,53648
2021-02-28,53729
2021-03-01,53940
2021-03-02,54378
2021-03-03,54924
2021-03-04,55364
2021-03-05,55778
2021-03-06,56049
2021-03-07,56201
2021-03-08,56536
2021-03-09,56978
2021-03-10,57444
2021-03-11,57930
2021-03-12,58364
2021-03-13,58729
2021-03-14,58815
2021-03-15,59044
2021-03-16,59589
2021-03-17,60198
2021-03-18,60669
2021-03-19,61188
2021-03-20,61673
2021-03-21,61921
2021-03-22,62329
2021-03-23,62791
2021-03-24,63540
2021-03-25,64144
2021-03-26,64657
2021-03-27,64883
2021-03-28,65152
2021-03-29,65578
2021-03-30,66146
2021-03-31,66699
2021-04-01,67182
2021-04-02,67455
2021-04-03,67645
2021-04-04,67774
2021-04-05,68122
2021-04-06,68556
2021-04-07,69153
2021-04-08,69383
2021-04-09,69828
2021-04-10,70078
2021-04-11,70303
2021-04-12,70656
2021-04-13,71148
2021-04-14,71578
2021-04-15,72030
2021-04-16,72399
2021-04-17,72670
2021-04-18,72895
2021-04-19,73228
2021-04-20,73600
2021-04-21,73817
2021-04-22,74105
2021-04-23,74487
2021-04-24,74718
2021-04-25,74953
2021-04-26,75223
2021-04-27,75593
2021-04-28,76107
2021-04-29,76431
2021-04-30,76737
2021-05-01,77137
2021-05-02,77323
2021-05-03,77567
2021-05-04,77896
2021-05-05,78178
2021-05-06,78481
2021-05-07,78750
2021-05-08,78969
2021-05-09,79058
2021-05-10,79379
2021-05-11,79781
2021-05-12,80245
2021-05-13,80661
2021-05-14,80938
2021-05-15,81022
2021-05-16,81154
2021-05-17,81383
2021-05-18,81929
2021-05-19,82298
2021-05-20,82788
2021-05-21,83193
2021-05-22,83363
2021-05-23,83473
2021-05-24,83746
2021-05-25,84210
2021-05-26,84597
2021-05-27,84942
2021-05-28,85295
2021-05-29,85470
2021-05-30,85655
2021-05-31,85808
2021-06-01,86274
2021-06-02,86560
2021-06-03,86947
2021-06-04,87235
2021-06-05,87474
2021-06-06,87529
2021-06-07,87752
2021-06-08,88107
2021-06-09,88426
2021-06-10,88758
2021-06-11,89117
2021-06-12,89250
2021-06-13,89294
2021-06-14,89572
2021-06-15,89965
2021-06-16,90308
2021-06-17,90610
2021-06-18,90916
2021-06-19,91024
2021-06-20,91083
2021-06-21,91319
2021-06-22,91594
2021-06-23,91878
2021-06-24,92168
2021-06-25,92348
2021-06-26,92461
2021-06-27,92508
2021-06-28,92747
2021-06-29,92936
2021-06-30,93188
2021-07-01,93427
2021-07-02,93691
2021-07-03,93810
2021-07-04,93818
2021-07-05,94060
2021-07-06,94329
2021-07-07,94614
2021-07-08,94908
2021-07-09,95199
2021-07-10,95317
2021-07-11,95370
2021-07-12,95622
2021-07-13,95925
2021-07-14,96183
2021-07-15,96510
2021-07-16,96774
2021-07-17,96901
2021-07-18,96918
2021-07-19,97186
2021-07-20,97546
2021-07-21,97734
2021-07-22,97875
2021-07-23,98067
2021-07-24,98148
2021-07-25,98227
2021-07-26,98391
2021-07-27,98656
2021-07-28,99023
2021-07-29,99299
2021-07-30,99606
2021-07-31,99696
2021-08-01,99732
2021-08-02,99926
2021-08-03,100296
2021-08-04,100650
2021-08-05,100911
2021-08-06,101183
2021-08-07,101277
2021-08-08,101330
2021-08-09,101528
2021-08-10,101841
2021-08-11,102178
2021-08-12,102471
2021-08-13,102773
2021-08-14,102871
2021-08-15,102895
2021-08-16,103113
2021-08-17,103420
2021-08-18,103717
2021-08-19,103984
2021-08-20,104254
2021-08-21,104336
2021-08-22,104376
2021-08-23,104560
2021-08-24,104868
2021-08-25,105121
2021-08-26,105407
2021-08-27,105715
2021-08-28,105715
2021-08-29,105889
2021-08-30,106167
2021-08-31,106491
2021-09-01,106853
2021-09-02,107106
2021-09-03,107376
2021-09-04,107464
2021-09-05,107509
2021-09-06,107627
2021-09-07,107764
2021-09-08,107876
2021-09-09,108098
2021-09-10,108298
2021-09-11,108395
2021-09-12,108435
2021-09-13,108604
2021-09-14,108817
2021-09-15,109043
2021-09-16,109224
2021-09-17,109396
2021-09-18,109483
2021-09-19,109528
2021-09-20,109723
2021-09-21,109882
2021-09-22,110065
2021-09-23,110221
2021-09-24,110401
2021-09-25,110543
2021-09-26,110579
2021-09-27,110701
2021-09-28,110884
2021-09-29,111069
2021-09-30,111207
2021-10-01,111333
2021-10-02,111379
2021-10-03,111407
2021-10-04,111571
2021-10-05,111717
2021-10-06,111831
2021-10-07,111957
2021-10-08,112135
2021-10-09,112135
2021-10-10,112135
2021-10-11,112135
2021-10-12,112135
2021-10-13,112268
2021-10-14,112435
2021-10-15,112614
2021-10-16,112614
2021-10-17,112614
2021-10-18,112821
2021-10-19,112934
2021-10-20,113007
2021-10-21,113050
2021-10-22,113073
2021-10-23,113073
2021-10-24,113073
2021-10-25,113197
2021-10-26,113284
2021-10-27,113350
2021-10-28,113395
2021-10-29,113466
2021-10-30,113466
2021-10-31,113466
2021-11-01,113466
2021-11-02,113466
2021-11-03,113564
2021-11-04,113662
2021-11-05,113720
2021-11-06,113720
2021-11-07,113720
2021-11-08,113826
2021-11-09,113888
2021-11-10,113938
2021-11-11,113962
2021-11-12,114021
2021-11-13,114021
2021-11-14,114021
2021-11-15,114021
2021-11-16,114076
2021-11-17,114102
2021-11-18,114137
2021-11-19,114163
2021-11-20,114163
2021-11-21,114163
2021-11-22,114205
2021-11-23,114237
2021-11-24,114254
2021-11-25,114261
2021-11-26,114276
2021-11-27,114276
2021-11-28,114276
2021-11-29,114294
2021-11-30,114304
2021-12-01,114322
2021-12-02,114333
2021-12-03,114351
2021-12-04,114351
2021-12-05,114351
2021-12-06,114372
2021-12-07,114386
2021-12-08,114386
2021-12-09,114400
2021-12-10,114419
2021-12-11,114419
2021-12-12,114419
2021-12-13,114442
2021-12-14,114474
2021-12-15,114501
2021-12-16,114516
2021-12-17,114525
2021-12-18,114525
2021-12-19,114525
2021-12-20,114538
2021-12-21,114553
2021-12-22,114566
2021-12-23,114587
2021-12-24,114587
2021-12-25,114587
2021-12-26,114587
2021-12-27,114654
2021-12-28,114677
2021-12-29,114699
2021-12-30,114699
2021-12-31,114699
2022-01-01,114699
2022-01-02,114699
2022-01-03,114721
2022-01-04,114742
2022-01-05,114752
2022-01-06,114830
2022-01-07,114917
2022-01-08,114917
2022-01-09,114917
2022-01-10,115233
2022-01-11,115340
2022-01-12,115510
2022-01-13,115607
2022-01-14,115745
2022-01-15,115745
2022-01-16,115745
2022-01-17,115982
2022-01-18,116170
2022-01-19,116406
2022-01-20,116626
2022-01-21,116756
2022-01-22,116756
2022-01-23,116756
2022-01-24,117082
2022-01-25,117203
2022-01-26,117391
2022-01-27,117391
2022-01-28,117697
2022-01-29,117697
2022-01-30,117697
2022-01-31,118287
2022-02-01,118577
2022-02-02,118968
2022-02-03,119286
2022-02-04,119611
2022-02-05,119611
2022-02-06,119611
2022-02-07,120471
2022-02-08,120745
2022-02-09,121014
2022-02-10,121217
2022-02-11,121551
2022-02-12,121551
2022-02-13,121551
2022-02-14,122247
2022-02-15,122639
2022-02-16,122937
2022-02-17,123536
2022-02-18,123921
2022-02-19,123921
2022-02-20,123921
2022-02-21,124687
2022-02-22,125133
2022-02-23,125560
2022-02-24,125852
2022-02-25,125979
2022-02-26,125979
2022-02-27,125979
2022-02-28,125979
2022-03-01,125979
2022-03-02,126532
2022-03-03,126671
2022-03-04,126750
2022-03-05,126750
2022-03-06,126750
2022-03-07,126974
2022-03-08,127141
2022-03-09,127218
2022-03-10,127272
2022-03-11,127314
2022-03-12,127314
2022-03-13,127314
2022-03-14,127611
2022-03-15,127708
2022-03-16,127818
2022-03-17,127907
2022-03-18,127980
2022-03-19,127980
2022-03-20,127980
2022-03-21,128547
2022-03-22,128649
2022-03-23,128707
2022-03-24,128771
2022-03-25,128817
2022-03-26,128817
2022-03-27,128817
2022-03-28,129295
2022-03-29,129374
2022-03-30,129448
2022-03-31,129515
2022-04-01,129593
2022-04-02,129593
2022-04-03,129593
2022-04-04,129898
2022-04-05,129972
2022-04-06,130013
2022-04-07,130041
2022-04-08,130041
2022-04-09,130041
2022-04-10,130041
2022-04-11,130359
2022-04-12,130419
2022-04-13,130472
2022-04-14,130521
2022-04-15,130521
2022-04-16,130521
2022-04-17,130521
2022-04-18,130794
2022-04-19,130824
2022-04-20,130886
2022-04-21,130886
2022-04-22,130886
2022-04-23,130886
2022-04-24,130886
2022-04-25,131359
2022-04-26,131462
2022-04-27,131526
2022-04-28,131605
2022-04-29,131654
2022-04-30,131654
2022-05-01,131654
2022-05-02,131844
2022-05-03,131914
2022-05-04,132003
2022-05-05,132065
2022-05-06,132134
2022-05-07,132134
2022-05-08,132134
2022-05-09,132380
2022-05-10,132439
2022-05-11,132489
2022-05-12,132541
2022-05-13,132587
2022-05-14,132587
2022-05-15,132587
2022-05-16,132861
2022-05-17,132906
2022-05-18,132973
2022-05-19,133057
2022-05-20,133094
2022-05-21,133094
2022-05-22,133094
2022-05-23,133150
2022-05-24,133179
2022-05-25,133195
2022-05-26,133229
2022-05-27,133260
2022-05-28,133260
2022-05-29,133260
2022-05-30,133358
2022-05-31,133412
2022-06-01,133451
2022-06-02,133495
2022-06-03,133520
2022-06-04,133520
2022-06-05,133520
2022-06-06,133646
2022-06-07,133683
2022-06-08,133713
2022-06-09,133758
2022-06-10,133826
2022-06-11,133826
2022-06-12,133826
2022-06-13,134104
2022-06-14,134189
2022-06-15,134307
2022-06-16,134307
2022-06-17,134307
2022-06-18,134307
2022-06-19,134307
2022-06-20,134755
2022-06-21,134827
2022-06-22,134943
2022-06-23,135074
2022-06-24,135195
2022-06-25,135195
2022-06-26,135195
2022-06-27,135575
2022-06-28,135690
2022-06-29,135802
2022-06-30,135910
2022-07-01,136025
2022-07-02,136025
2022-07-03,136025
2022-07-04,136331
2022-07-05,136471
2022-07-06,136615
2022-07-07,136728
2022-07-08,136895
2022-07-09,136895
2022-07-10,136895
2022-07-11,137409
2022-07-12,137473
2022-07-13,137673
2022-07-14,137798
2022-07-15,137905
2022-07-16,137905
2022-07-17,137905
2022-07-18,138241
2022-07-19,138440
2022-07-20,138556
2022-07-21,138640
2022-07-22,138774
2022-07-23,138774
2022-07-24,138774
2022-07-25,139577
2022-07-26,139678
2022-07-27,139783
2022-07-28,139902
2022-07-29,140007
2022-07-30,140007
2022-07-31,140007
2022-08-01,140067
2022-08-02,140204
2022-08-03,140325
2022-08-04,140445
2022-08-05,140611
2022-08-06,140611
2022-08-07,140611
2022-08-08,141315
2022-08-09,141452
2022-08-10,141553
2022-08-11,141631
2022-08-12,141724
2022-08-13,141724
2022-08-14,141724
2022-08-15,142138
2022-08-16,142233
2022-08-17,142290
2022-08-18,142365
2022-08-19,142443
2022-08-20,142443
2022-08-21,142443
2022-08-22,142508
2022-08-23,142562
2022-08-24,142656
2022-08-25,142741
2022-08-26,142798
2022-08-27,142798
2022-08-28,142798
2022-08-29,143111
2022-08-30,143190
2022-08-31,143259
2022-09-01,143339
2022-09-02,143406
2022-09-03,143406
2022-09-04,143406
2022-09-05,143676
2022-09-06,143743
2022-09-07,143743
2022-09-08,143965
2022-09-09,144050
2022-09-10,144050
2022-09-11,144050
2022-09-12,144124
2022-09-13,144192
2022-09-14,144239
2022-09-15,144334
2022-09-16,144428
2022-09-17,144428
2022-09-18,144428
2022-09-19,144744
2022-09-20,144744
2022-09-21,144928
2022-09-22,145033
2022-09-23,145117
2022-09-24,145117
2022-09-25,145117
2022-09-26,145396
2022-09-27,145437
2022-09-28,145452
2022-09-29,145525
2022-09-30,145578
2022-10-01,145578
2022-10-02,145578
2022-10-03,145672
2022-10-04,145714
2022-10-05,145735
2022-10-06,145759
2022-10-07,145789
2022-10-08,145789
2022-10-09,145789
2022-10-10,145948
2022-10-11,145991
2022-10-12,145991
2022-10-13,145991
2022-10-14,145991
2022-10-15,145991
2022-10-16,145991
2022-10-17,146058
2022-10-18,146064
2022-10-19,146064
2022-10-20,146074
2022-10-21,146074
2022-10-22,146074
2022-10-23,146074
2022-10-24,146153
2022-10-25,146172
2022-10-26,146172
2022-10-27,146172
2022-10-28,146172
2022-10-29,146172
2022-10-30,146172
2022-10-31,146215
2022-11-01,146236
2022-11-02,146236
2022-11-03,146258
2022-11-04,146288
2022-11-05,146288
2022-11-06,146288
2022-11-07,146289
2022-11-08,146290
2022-11-09,146292
2022-11-10,146292
2022-11-11,146296
2022-11-12,146296
2022-11-13,146296
2022-11-14,146296
2022-11-15,146296
2022-11-16,146304
2022-11-17,146324
2022-11-18,146333
2022-11-19,146333
2022-11-20,146333
2022-11-21,146398
2022-11-22,146421
2022-11-23,146439
2022-11-24,146439
2022-11-25,146470
2022-11-26,146470
2022-11-27,146470
2022-11-28,146470
2022-11-29,146470
2022-11-30,146682
2022-12-01,146682
2022-12-02,146682
2022-12-03,146682
2022-12-04,146682
2022-12-05,146682
2022-12-06,146682
2022-12-07,146682
2022-12-08,146682
2022-12-09,146682
2022-12-10,146682
2022-12-11,146682
2022-12-12,147207
2022-12-13,147256
2022-12-14,147363
2022-12-15,147448
2022-12-16,147448
2022-12-17,147448
2022-12-18,147448
2022-12-19,147746
2022-12-20,147797
2022-12-21,147837
2022-12-22,147851
2022-12-23,147851
2022-12-24,147851
2022-12-25,147851
2022-12-26,147970
2022-12-27,148032
2022-12-28,148278
2022-12-29,148278
2022-12-30,148278
2022-12-31,148278
2023-01-01,148278
2023-01-02,148412
2023-01-03,148509
2023-01-04,148653
2023-01-05,148781
2023-01-06,148868
2023-01-07,148868
2023-01-08,148868
2023-01-09,148868
2023-01-10,148868
2023-01-11,149400
2023-01-12,149512
2023-01-13,149551
2023-01-14,149551
2023-01-15,149551
2023-01-16,149965
2023-01-17,150104
2023-01-18,150231
2023-01-19,150231
2023-01-20,150542
2023-01-21,150542
2023-01-22,150542
2023-01-23,150991
2023-01-24,151146
2023-01-25,151221
2023-01-26,151221
2023-01-27,151593
2023-01-28,151593
2023-01-29,151593
2023-01-30,151850
2023-01-31,151949
2023-02-01,152077
2023-02-02,152077
2023-02-03,152255
2023-02-04,152255
2023-02-05,152255
2023-02-06,152573
2023-02-07,152634
2023-02-08,152645
2023-02-09,152648
2023-02-10,152651
2023-02-11,152651
2023-02-12,152651
2023-02-13,152809
2023-02-14,152809
2023-02-15,152814
2023-02-16,152814
2023-02-17,152814
2023-02-18,152814
2023-02-19,152814
2023-02-20,152814
2023-02-21,152814
2023-02-22,152814
2023-02-23,153184
2023-02-24,153184
